Country/Region,location,continent,population_year,population
Saint Kitts and Nevis,Saint Kitts and Nevis,North America,2021,53546
Saint Lucia,Saint Lucia,North America,2021,184401
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,North America,2021,111269
Samoa,Samoa,Oceania,2021,200144
San Marino,San Marino,Europe,2021,34010
Sao Tome and Principe,Sao Tome and Principe,Africa,2021,223364
Saudi Arabia,Saudi Arabia,Asia,2021,35340680
Senegal,Senegal,Africa,2021,17196308
Serbia,Serbia,Europe,2021,6908224
Seychelles,Seychelles,Africa,2021,98910
Sierra Leone,Sierra Leone,Africa,2021,8141343
Singapore,Singapore,Asia,2021,5896684
Slovakia,Slovakia,Europe,2021,5460726
Slovenia,Slovenia,Europe,2021,2078723
Solomon Islands,Solomon Islands,Oceania,2021,703995
Somalia,Somalia,Africa,2021,16359500
South Africa,South Africa,Africa,2021,60041996
"Korea, South",South Korea,Asia,2021,51305184
South Sudan,South Sudan,Africa,2021,11381377
Spain,Spain,Europe,2021,46745211
Sri Lanka,Sri Lanka,Asia,2021,21497306
Sudan,Sudan,Africa,2021,44909351
Summer Olympics 2020,Summer Olympics 2020,,,
Suriname,Suriname,South America,2021,591798
Sweden,Sweden,Europe,2021,10160159
Switzerland,Switzerland,Europe,2021,8715494
Syria,Syria,Asia,2021,18275704
Taiwan*,Taiwan,Asia,2021,23855008
Tajikistan,Tajikistan,Asia,2021,9749625
Tanzania,Tanzania,Africa,2021,61498438
Thailand,Thailand,Asia,2021,69950844
Timor-Leste,Timor,Asia,2021,1343875
Togo,Togo,Africa,2021,8478242
Tonga,Tonga,Oceania,2021,106759
Trinidad and Tobago,Trinidad and Tobago,North America,2021,1403374
Tunisia,Tunisia,Africa,2021,11935764
Turkey,Turkey,Asia,2021,85042736
Uganda,Uganda,Africa,2021,47123533
Ukraine,Ukraine,Europe,2021,43466822
United Arab Emirates,United Arab Emirates,Asia,2021,9991083
United Kingdom,United Kingdom,Europe,2021,68207114
US,United States,North America,2021,332915074
Uruguay,Uruguay,South America,2021,3485152
Uzbekistan,Uzbekistan,Asia,2021,33935765
Vanuatu,Vanuatu,Oceania,2021,314464
Holy See,Vatican,Europe,2021,812
Venezuela,Venezuela,South America,2021,28704947
Vietnam,Vietnam,Asia,2021,98168829
Yemen,Yemen,Asia,2021,30490639
Zambia,Zambia,Africa,2021,18920657
Zimbabwe,Zimbabwe,Africa,2021,15092171
